Kingdom,Phylum,Class,Order,IUCN_fam,fam
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,ACANTHACEAE,Acanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ACERACEAE,Aceraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,ACHARIACEAE,Achariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,ACHATOCARPACEAE,Achatocarpaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,ACORACEAE,Acoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,ACTINIDIACEAE,Actinidiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,ADOXACEAE,Adoxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,AEXTOXICACEAE,Aextoxicaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,AGAVACEAE,Agavaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AGDESTIDACEAE,Agdestidaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,AITCHINSONIELLACEAE,Aitchinsoniellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AIZOACEAE,Aizoaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES,AKANIACEAE,Akaniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,ALANGIACEAE,Alangiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ALISMATACEAE,Alismataceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALLIACEAE,Alliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALOACEAE,Aloaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,ALSEUOSMIACEAE,Alseuosmiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ALSTROEMERIACEAE,Alstroemeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,ALZATEACEAE,Alzateaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,Amaranthaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,AMARYLLIDACEAE,Amaryllidaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,AMBLYSTEGIACEAE,Amblystegiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,AMBORELLACEAE,Amborellaceae
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,AMBUCHANANIALES,AMBUCHANANIACEAE,Ambuchananiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,ANACARDIACEAE,Anacardiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,RESTIONALES,ANARTHRIACEAE,Anarthriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,ANCISTROCLADACEAE,Ancistrocladaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SCHIZAEALES,ANEMIACEAE,Anemiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,ANISOPHYLLEACEAE,Anisophylleaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Annonaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ANTHERICACEAE,Anthericaceae
PLANTAE,ANTHOCERATOPHYTA,ANTHOCEROTOPSIDA,ANTHOCEROTALES,ANTHOCEROTACEAE,Anthocerotaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,APHYLLANTHACEAE,Aphyllanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,APIACEAE,Apiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,APOCYNACEAE,Apocynaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,APONOGETONACEAE,Aponogetonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,AQUIFOLIACEAE,Aquifoliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARALES,ARACEAE,Araceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,ARALIACEAE,Araliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,ARALIDIACEAE,Aralidiaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,ARAUCARIACEAE,Araucariaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,ARCHIDIALES,ARCHIDIACEAE,Archidiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Arecaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ARISTOLOCHIALES,ARISTOLOCHIACEAE,Aristolochiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,ASCLEPIADACEAE,Asclepiadaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ASPARAGACEAE,Asparagaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ASPHODELACEAE,Asphodelaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,ASPLENIACEAE,Aspleniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,ASTELIACEAE,Asteliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Asteraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,ASTEROPEIACEAE,Asteropeiaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,ATHYRIACEAE,Athyriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,AUCUBACEAE,Aucubaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,AUSTROBAILEYACEAE,Austrobaileyaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,AVICENNIACEAE,Avicenniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BALANITACEAE,Balanitaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,BALANOPACEAE,Balanopaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,BALANOPHORACEAE,Balanophoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,BALSAMINACEAE,Balsaminaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,BARBEUIACEAE,Barbeuiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,BARBEYACEAE,Barbeyaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,BASELLACEAE,Basellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BATALES,BATACEAE,Bataceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,BERBERIDACEAE,Berberidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,BETULACEAE,Betulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,BIGNONIACEAE,Bignoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,BIXACEAE,Bixaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,BLANDFORDIACEAE,Blandfordiaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,BLECHNACEAE,Blechnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,BOMBACACEAE,Bombacaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,BONNEMAISONIALES,BONNEMAISONIACEAE,Bonnemaisoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,BONNETIACEAE,Bonnetiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,BORAGINACEAE,Boraginaceae
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,BOWENIACEAE,Boweniaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,BRACHYTHECIACEAE,Brachytheciaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,BRASSICACEAE,Brassicaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BRETSCHNEIDERACEAE,Bretschneideraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,BROMELIACEAE,Bromeliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,BRUNELLIACEAE,Brunelliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,BRUNIACEAE,Bruniaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,BRYACEAE,Bryaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYOXIPHIALES,BRYOXIPHIACEAE,Bryoxiphiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,BUDDLEJACEAE,Buddlejaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ORCHIDALES,BURMANNIACEAE,Burmanniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,BURSERACEAE,Burseraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,BUTOMACEAE,Butomaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BUXALES,BUXACEAE,Buxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,BYBLIDACEAE,Byblidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES,CABOMBACEAE,Cabombaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CACTACEAE,Cactaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,CALECTASIACEAE,Calectasiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CALLITRICHALES,CALLITRICHACEAE,Callitrichaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CALOPHYLLACEAE,Calophyllaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,CALYCANTHACEAE,Calycanthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CALYCERALES,CALYCERACEAE,Calyceraceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,CALYPOGEIACEAE,Calypogeiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAMPANULALES,CAMPANULACEAE,Campanulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,CANELLACEAE,Canellaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,CANNABACEAE,Cannabaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGERBERALES,CANNACEAE,Cannaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CANOTIACEAE,Canotiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,CAPPARACEAE,Capparaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,CAPRIFOLIACEAE,Caprifoliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CARDIOPTERIDACEAE,Cardiopteridaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,CARICACEAE,Caricaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,CARLEMANNIACEAE,Carlemanniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,CARYOCARACEAE,Caryocaraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CARYOPHYLLACEAE,Caryophyllaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CASUARINALES,CASUARINACEAE,Casuarinaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,CECROPIACEAE,Cecropiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Celastraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CENTROLEPIDACEAE,Centrolepidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,CEPHALOTACEAE,Cephalotaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,CEPHALOTAXACEAE,Cephalotaxaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,CEPHALOZIACEAE,Cephaloziaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,CEPHALOZIELLACEAE,Cephaloziellaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,CERAMIACEAE,Ceramiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES,CERATOPHYLLACEAE,Ceratophyllaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HAMAMELIDALES,CERCIDIPHYLLACEAE,Cercidiphyllaceae
PLANTAE,CHLOROPHYTA,CHLOROPHYCEAE,CHAETOPHORALES,CHAETOPHORACEAE,Chaetophoraceae
PLANTAE,CHAROPHYTA,CHAROPHYACEAE,CHARALES,CHARACEAE,Characeae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CHENOPODIACEAE,Chenopodiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PIPERALES,CHLORANTHACEAE,Chloranthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,CHRYSOBALANACEAE,Chrysobalanaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,CIRCAEASTERACEAE,Circaeasteraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,CISTACEAE,Cistaceae
PLANTAE,CHLOROPHYTA,ULVOPHYCEAE,CLADOPHORALES,CLADOPHORACEAE,Cladophoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,CLETHRACEAE,Clethraceae
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,CLEVEACEAE,Cleveaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,CLUSIACEAE,Clusiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,CNEORACEAE,Cneoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,COBAEACEAE,Cobaeaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,COCHLOSPERMACEAE,Cochlospermaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,COLCHICACEAE,Colchicaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,COLUMELLIACEAE,Columelliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,COMBRETACEAE,Combretaceae
