"fam","fam_int"
"Fabaceae","119"
"Oleaceae","196"
"Pinaceae","218"
"Malvaceae","167"
"Euphorbiaceae","118"
"Velloziaceae","291"
"Plumbaginaceae","223"
"Acanthaceae","1"
"Arecaceae","26"
"Santalaceae","249"
"Myrtaceae","185"
"Sapindaceae","250"
"Cactaceae","54"
"Amaranthaceae","11"
"Orchidaceae","199"
"Amaryllidaceae","12"
"Rutaceae","245"
"Podocarpaceae","225"
"Ranunculaceae","237"
"Acoraceae","3"
"Malpighiaceae","166"
"Poaceae","224"
"Actinidiaceae","4"
"Lauraceae","155"
"Cyperaceae","94"
"Cupressaceae","90"
"Passifloraceae","205"
"Molluginaceae","177"
"Plantaginaceae","221"
"Pentaphylacaceae","209"
"Crassulaceae","86"
"Bromeliaceae","46"
"Primulaceae","233"
"Lamiaceae","154"
"Gesneriaceae","124"
"Brassicaceae","44"
"Aextoxicaceae","6"
"Zingiberaceae","301"
"Rubiaceae","243"
"Huaceae","137"
"Burmanniaceae","48"
"Calophyllaceae","56"
"Araucariaceae","25"
"Loranthaceae","163"
"Meliaceae","172"
"Araceae","23"
"Opiliaceae","198"
"Simaroubaceae","263"
"Apocynaceae","19"
"Cornaceae","83"
"Menispermaceae","174"
"Asparagaceae","29"
"Rosaceae","242"
"Droseraceae","105"
"Nartheciaceae","186"
"Restionaceae","239"
"Juglandaceae","149"
"Alismataceae","8"
"Clusiaceae","77"
"Violaceae","293"
"Proteaceae","234"
"Didiereaceae","97"
"Styracaceae","271"
"Betulaceae","39"
"Asphodelaceae","30"
"Aizoaceae","7"
"Rhamnaceae","240"
"Annonaceae","17"
"Icacinaceae","146"
"Picramniaceae","216"
"Phyllanthaceae","214"
"Taxaceae","277"
"Lythraceae","164"
"Apiaceae","18"
"Cannabaceae","59"
"Cymodoceaceae","93"
"Bignoniaceae","40"
"Boraginaceae","43"
"Anacampserotaceae","13"
"Aptandraceae","21"
"Asteraceae","32"
"Ancistrocladaceae","15"
"Colchicaceae","78"
"Ericaceae","113"
"Commelinaceae","80"
"Convolvulaceae","82"
"Anisophylleaceae","16"
"Dipterocarpaceae","103"
"Rhizophoraceae","241"
"Gentianaceae","122"
"Caryocaraceae","64"
"Anacardiaceae","14"
"Podostemaceae","226"
"Araliaceae","24"
"Aponogetonaceae","20"
"Theaceae","280"
"Thymelaeaceae","283"
"Caryophyllaceae","65"
"Iridaceae","147"
"Picrodendraceae","217"
"Aristolochiaceae","28"
"Moraceae","181"
"Cyclanthaceae","92"
"Asteliaceae","31"
"Lecythidaceae","156"
"Asteropeiaceae","33"
"Campanulaceae","57"
"Chrysobalanaceae","73"
"Sapotaceae","251"
"Burseraceae","49"
"Solanaceae","265"
"Crypteroniaceae","87"
"Salvadoraceae","248"
"Polygalaceae","228"
"Balanopaceae","35"
"Salicaceae","247"
"Nymphaeaceae","192"
"Begoniaceae","37"
"Berberidaceae","38"
"Elatinaceae","110"
"Centroplacaceae","67"
"Myristicaceae","184"
"Hydrocharitaceae","141"
"Urticaceae","290"
"Alstroemeriaceae","9"
"Bonnetiaceae","42"
"Capparaceae","60"
"Ehretiaceae","107"
"Zamiaceae","300"
"Ochnaceae","194"
"Cabombaceae","53"
"Bretschneideraceae","45"
"Brunelliaceae","47"
"Orobanchaceae","200"
"Scrophulariaceae","262"
"Zygophyllaceae","303"
"Butomaceae","50"
"Buxaceae","51"
"Byblidaceae","52"
"Marantaceae","168"
"Calceolariaceae","55"
"Liliaceae","158"
"Celastraceae","66"
"Myricaceae","183"
"Caricaceae","63"
"Fagaceae","120"
"Vitaceae","294"
"Caprifoliaceae","61"
"Cephalotaxaceae","69"
"Cephalotaceae","68"
"Cunoniaceae","89"
"Ceratophyllaceae","70"
"Cercidiphyllaceae","71"
"Peraceae","211"
"Achariaceae","2"
"Saxifragaceae","256"
"Hamamelidaceae","132"
"Canellaceae","58"
"Cucurbitaceae","88"
"Cistaceae","74"
"Verbenaceae","292"
"Cardiopteridaceae","62"
"Montiaceae","179"
"Cleomaceae","75"
"Clethraceae","76"
"Polemoniaceae","227"
"Polygonaceae","229"
"Bixaceae","41"
"Nyctaginaceae","191"
"Combretaceae","79"
"Connaraceae","81"
"Argophyllaceae","27"
"Papaveraceae","204"
"Costaceae","84"
"Hypericaceae","144"
"Tecophilaeaceae","278"
"Cycadaceae","91"
"Sarraceniaceae","254"
"Degeneriaceae","95"
"Hydrangeaceae","140"
"Sphaerosepalaceae","266"
"Pedaliaceae","207"
"Dichapetalaceae","96"
"Dilleniaceae","99"
"Dioscoreaceae","100"
"Ebenaceae","106"
"Dipentodontaceae","101"
"Nyssaceae","193"
"Dirachmaceae","104"
"Juncaceae","150"
"Putranjivaceae","235"
"Elaeagnaceae","108"
"Elaeocarpaceae","109"
"Musaceae","182"
"Ephedraceae","111"
"Onagraceae","197"
"Equisetaceae","112"
"Sarcolaenaceae","253"
"Eriocaulaceae","114"
"Geraniaceae","123"
"Erythroxylaceae","116"
"Eucommiaceae","117"
"Frankeniaceae","121"
"Pandanaceae","203"
"Loganiaceae","162"
"Lentibulariaceae","157"
"Ginkgoaceae","125"
"Phrymaceae","213"
"Gnetaceae","126"
"Gomortegaceae","127"
"Montiniaceae","180"
"Melianthaceae","173"
"Stemonuraceae","269"
"Potamogetonaceae","232"
"Hanguanaceae","133"
"Chloranthaceae","72"
"Erythropalaceae","115"
"Heliconiaceae","134"
"Heliotropiaceae","135"
"Hernandiaceae","136"
"Pontederiaceae","230"
"Monimiaceae","178"
"Tapisciaceae","276"
"Linaceae","159"
"Humiriaceae","138"
"Balsaminaceae","36"
"Hydroleaceae","142"
"Hydrostachyaceae","143"
"Hypoxidaceae","145"
"Aquifoliaceae","22"
"Schisandraceae","258"
"Irvingiaceae","148"
"Kirkiaceae","152"
"Vochysiaceae","295"
"Lacistemataceae","153"
"Atherospermataceae","34"
"Linderniaceae","160"
"Altingiaceae","10"
"Magnoliaceae","165"
"Ximeniaceae","298"
"Marcgraviaceae","169"
"Medusagynaceae","170"
"Peridiscaceae","212"
"Torricelliaceae","285"
"Sabiaceae","246"
"Menyanthaceae","175"
"Metteniusaceae","176"
"Coulaceae","85"
"Haloragaceae","131"
"Loasaceae","161"
"Nelumbonaceae","187"
"Nepenthaceae","188"
"Nitrariaceae","189"
"Nothofagaceae","190"
"Stilbaceae","270"
"Resedaceae","238"
"Octoknemaceae","195"
"Oxalidaceae","201"
"Paeoniaceae","202"
"Melanthiaceae","171"
"Paulowniaceae","206"
"Penthoraceae","210"
"Piperaceae","219"
"Phyllocladaceae","215"
"Zosteraceae","302"
"Pittosporaceae","220"
"Platanaceae","222"
"Posidoniaceae","231"
"Thurniaceae","282"
"Quiinaceae","236"
"Surianaceae","272"
"Penaeaceae","208"
"Grossulariaceae","129"
"Ruppiaceae","244"
"Adoxaceae","5"
"Sarcobataceae","252"
"Saururaceae","255"
"Goodeniaceae","128"
"Scheuchzeriaceae","257"
"Schoepfiaceae","260"
"Sciadopityaceae","261"
"Siparunaceae","264"
"Typhaceae","288"
"Sphenocleaceae","267"
