POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
1005055-1,Threat,"Erythrospermum sifarii Hul, Labat & O.Pascal",3879777,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum sifarii,"Hul, Labat & O.Pascal",ACCEPTED,3879777,;,1,1,0,2,5,84,13.62914553
111505-1,NonThreat,Buchnerodendron speciosum Gürke,3878489,Plantae,Tracheophyta,Malpighiales,Achariaceae,Buchnerodendron,Buchnerodendron speciosum,Gürke,ACCEPTED,3878489,;,6,6,439429.4498,15,36,67727.95962,4.91751817
111509-1,NonThreat,Carpotroche grandiflora Spruce ex Eichler,3878026,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche grandiflora,Spruce ex Eichler,ACCEPTED,3878026,;,6,4,351329.6581,4,4,143579.4297,3.193946741
111511-1,NonThreat,Carpotroche longifolia (Poepp.) Benth.,7274065,Plantae,Tracheophyta,Malpighiales,Achariaceae,Carpotroche,Carpotroche longifolia,Benth.,ACCEPTED,7274065,;,10,24,5209590.817,233,479,129063.9496,3.865835799
111549-1,NonThreat,Dasylepis racemosa Oliv.,8135923,Plantae,Tracheophyta,Malpighiales,Achariaceae,Dasylepis,Dasylepis racemosa,Oliv.,ACCEPTED,8135923,;,12,9,2170845.713,48,120,62591.87035,6.910375133
111608-1,Threat,Erythrospermum monticola Thouars,8350553,Plantae,Tracheophyta,Malpighiales,Achariaceae,Erythrospermum,Erythrospermum monticolum,Thou.,ACCEPTED,8350553,;,1,1,0,1,1,62,20.95107774
111695-1,NonThreat,Grandidiera boivinii Jaub.,3878753,Plantae,Tracheophyta,Malpighiales,Achariaceae,Grandidiera,Grandidiera boivinii,Jaub.,ACCEPTED,3878753,;,3,6,150128.7839,52,109,29600.01617,6.866775357
111709-1,NonThreat,Gynocardia odorata R.Br.,3878096,Plantae,Tracheophyta,Malpighiales,Achariaceae,Gynocardia,Gynocardia odorata,R.Br.,ACCEPTED,3878096,;,5,1,0,1,4,24933.28166,11.19220476
111752-1,Threat,Hydnocarpus kunstleri (King) Warb.,8076301,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus kunstleri,Warb. (King),ACCEPTED,8076301,;,1,1,0,2,2,35205,12.14854768
111753-1,NonThreat,Hydnocarpus kurzii (King) Warb.,2874151,Plantae,Tracheophyta,Malpighiales,Achariaceae,Hydnocarpus,Hydnocarpus kurzii,Warb.,ACCEPTED,2874151,;,3,1,0,1,1,30632.82758,10.28497549
111770-1,NonThreat,Kiggelaria africana L.,3880382,Plantae,Tracheophyta,Malpighiales,Achariaceae,Kiggelaria,Kiggelaria africana,L.,ACCEPTED,3880382,;,12,25,3090514.752,234,446,14937.04628,6.91629302
111811-1,NonThreat,Lindackeria laurina C.Presl,3879668,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria laurina,C.Presl,ACCEPTED,3879668,;,6,14,956364.6263,120,220,32462.74501,6.288969246
111813-1,NonThreat,Lindackeria pauciflora Benth.,3879588,Plantae,Tracheophyta,Malpighiales,Achariaceae,Lindackeria,Lindackeria pauciflora,Benth.,ACCEPTED,3879588,;,3,9,839860.5468,23,33,203410.2688,3.949711852
111855-1,NonThreat,Mayna odorata Aubl.,3878638,Plantae,Tracheophyta,Malpighiales,Achariaceae,Mayna,Mayna odorata,Aubl.,ACCEPTED,3878638,;,11,45,6893112.428,496,1922,135096.4868,3.167252142
112018-1,NonThreat,Rawsonia lucida Harv. & Sond.,3878331,Plantae,Tracheophyta,Malpighiales,Achariaceae,Rawsonia,Rawsonia lucida,Harv. & Sond.,ACCEPTED,3878331,;,18,25,2942611.595,124,479,36520.32788,6.221954719
