"POWO_ID","full_name","GBIF_SuggestedKey","kin","phy","ord","fam","GBIF_SuggestedGen","GBIF_SuggestedSpe","GBIF_Suggestedauth","GBIF_SuggestedNameStatus","GBIF_AcceptedKey","Warning","TDWGCount","EcoregionCount","EOO","AOO","RecordCount","norm_forest_loss","norm_hfoot"
"261601-1","Abies numidica","2685546","Plantae","Tracheophyta","Pinales","Pinaceae","Abies","Abies numidica","de Lannoy ex Carrière","ACCEPTED","2685546","",1,3,264806.228353885,10,36,1861,2.64766578859222
"262198-1","Juniperus drupacea","2684584","Plantae","Tracheophyta","Pinales","Cupressaceae","Juniperus","Juniperus drupacea","Labill.","ACCEPTED","2684584","",4,6,420166.900660315,30,79,4487.21775951573,11.4318944908242
"326442-1","Arbutus canariensis","4170826","Plantae","Tracheophyta","Ericales","Ericaceae","Arbutus","Arbutus canariensis","Duhamel","ACCEPTED","4170826","",1,1,7317.93848795438,14,23,16,16.8895357442221
"60440467-2","Picea omorika","5284950","Plantae","Tracheophyta","Pinales","Pinaceae","Picea","Picea omorika","Purk. (Pancic)","ACCEPTED","5284950","",1,3,1520.1925313623,12,99,3716,13.392962503149
"677193-1","Tetraclinis articulata","2684184","Plantae","Tracheophyta","Pinales","Cupressaceae","Tetraclinis","Tetraclinis articulata","Mast.","ACCEPTED","2684184","",6,13,1466453.60867699,118,243,2703.19499176649,4.19410111344741
"718559-1","Rhamnus persicifolia","3876121","Plantae","Tracheophyta","Rosales","Rhamnaceae","Rhamnus","Rhamnus persicifolia","Moris","ACCEPTED","3876121","",1,1,475.231444628738,11,19,389,15.2032024920654
"722509-1","Cotoneaster granatensis","3025671","Plantae","Tracheophyta","Rosales","Rosaceae","Cotoneaster","Cotoneaster granatensis","Boiss.","ACCEPTED","3025671","",5,5,235360.163632359,86,312,5633.8515242904,6.62000272937227
"730180-1","Prunus ramburii","3020780","Plantae","Tracheophyta","Rosales","Rosaceae","Prunus","Prunus ramburii","Boiss.","ACCEPTED","3020780","",1,2,8945.2280615744,51,417,17681,12.3564342959433
"778993-1","Salix tarraconensis","5582764","Plantae","Tracheophyta","Malpighiales","Salicaceae","Salix","Salix tarraconensis","Pau","ACCEPTED","5582764","",1,2,2501.19454507751,28,526,17681,12.3564342959433
"858071-1","Zelkova abelicea","4159329","Plantae","Tracheophyta","Rosales","Ulmaceae","Zelkova","Zelkova abelicea","Boiss.","ACCEPTED","4159329","",1,1,375.345305199799,4,8,83,13.2453834861249
