POWO_ID,threat_prediction,full_name,GBIF_SuggestedKey,kin,phy,ord,fam,GBIF_SuggestedGen,GBIF_SuggestedSpe,GBIF_Suggestedauth,GBIF_SuggestedNameStatus,GBIF_AcceptedKey,Warning,TDWGCount,EcoregionCount,EOO,AOO,RecordCount,norm_forest_loss,norm_hfoot
1001003-1,NonThreat,Anthurium obtusum (Engl.) Grayum,2873359,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium obtusum,Grayum (Engl.),ACCEPTED,2873359,;,15,42,7697915.34,451,860,121176.1634,3.494941353
1006568-1,Threat,Alocasia reginula A.Hay,5329895,Plantae,Tracheophyta,Alismatales,Araceae,Alocasia,Alocasia reginula,A.Hay,ACCEPTED,5329895,;,1,1,0,1,3,160553,5.887828653
1006575-1,Threat,Alocasia balgooyi A.Hay,5329849,Plantae,Tracheophyta,Alismatales,Araceae,Alocasia,Alocasia balgooyi,A.Hay,ACCEPTED,5329849,;,1,2,785.7000118,3,6,18527,10.3306815
1006811-1,Threat,"Amorphophallus ankarana Hett., Ittenbach & Bogner",2871793,Plantae,Tracheophyta,Alismatales,Araceae,Amorphophallus,Amorphophallus ankarana,"Hett., Ittenb. & Bogner",ACCEPTED,2871793,;,1,1,16443.54451,4,7,37846,7.347207394
1006812-1,Threat,"Amorphophallus antsingyensis Bogner, Hett. & Ittenbach",2871456,Plantae,Tracheophyta,Alismatales,Araceae,Amorphophallus,Amorphophallus antsingyensis,"Bogner, Hett. & Ittenb.",ACCEPTED,2871456,;,1,1,24416.05971,11,16,37846,7.347207394
1006813-1,Threat,"Amorphophallus taurostigma Ittenb., Hett. & Bogner",2871452,Plantae,Tracheophyta,Alismatales,Araceae,Amorphophallus,Amorphophallus taurostigma,"Ittenb., Hett. & Bogner",ACCEPTED,2871452,;,1,3,34472.36189,9,12,37846,7.347207394
1148183-2,Threat,Anthurium acaule (Jacq.) Schott,2873164,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium acaule,Schott (Jacq.),ACCEPTED,2873164,;,1,1,12321.04282,6,6,75,20.06283468
1197383-2,Threat,Anthurium conspicuum Sodiro,2873220,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium conspicuum,Sodiro,ACCEPTED,2873220,;,1,1,0,1,1,8218,6.891458637
15058-2,NonThreat,Anthurium acutangulum Engl.,2873612,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium acutangulum,Engl.,ACCEPTED,2873612,;,5,14,587230.8761,142,327,32370.02083,6.146483557
15059-2,NonThreat,Anthurium acutifolium Engl.,2872952,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium acutifolium,Engl.,ACCEPTED,2872952,;,2,7,30929.48548,54,142,3194.143457,9.428234562
15060-2,NonThreat,Anthurium acutissimum Engl.,2873179,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium acutissimum,Engl.,ACCEPTED,2873179,;,1,3,35260.34355,8,12,8218,6.891458637
15062-2,NonThreat,Anthurium acutum N.E.Br.,2873160,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium acutum,N.E.Br.,ACCEPTED,2873160,;,2,4,78067.0958,35,53,48443.65295,10.78485327
15066-2,NonThreat,Anthurium alatipedunculatum Croat & R.A.Baker,2872956,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium alatipedunculatum,Croat & R.A.Baker,ACCEPTED,2872956,;,1,4,12348.61545,21,80,2377,12.02355581
15067-2,NonThreat,Anthurium alatum Engl.,2873341,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium alatum,Engl.,ACCEPTED,2873341,;,1,5,32870.90992,25,32,39871,5.262683972
15070-2,Threat,Anthurium albidum Sodiro,2873109,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium albidum,Sodiro,ACCEPTED,2873109,;,1,2,0,2,2,8218,6.891458637
15071-2,Threat,Anthurium albispatha Sodiro,2872917,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium albispatha,Sodiro,ACCEPTED,2872917,;,1,2,0,2,2,8218,6.891458637
15073-2,Threat,Anthurium albovirescens Sodiro,2872421,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium albovirescens,Sodiro,ACCEPTED,2872421,;,1,2,0,2,2,8218,6.891458637
15080-2,Threat,Anthurium andinum Engl.,2872709,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium andinum,Engl.,ACCEPTED,2872709,;,2,2,12419.12644,5,13,34199.32306,5.554532571
15084-2,NonThreat,Anthurium angosturense Engl.,2872375,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium angosturense,Engl.,ACCEPTED,2872375,;,2,3,28479.9476,6,6,32004.95746,4.948251837
15085-2,Threat,Anthurium angustilaminatum Engl.,2873465,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium angustilaminatum,Engl.,ACCEPTED,2873465,;,1,2,15708.60552,5,9,8218,6.891458637
15090-2,NonThreat,Anthurium angustisectum Engl.,2872348,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium angustisectum,Engl.,ACCEPTED,2872348,;,1,2,6670.668934,7,18,39871,5.262683972
15091-2,NonThreat,Anthurium angustispadix Croat & R.A.Baker,2873641,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium angustispadix,Croat & R.A.Baker,ACCEPTED,2873641,;,2,4,13394.42762,33,156,3194.143457,9.428234562
15093-2,Threat,Anthurium antioquiense Engl.,2873267,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium antioquiense,Engl.,ACCEPTED,2873267,;,1,4,30521.28851,25,53,39871,5.262683972
15094-2,Threat,Anthurium antrophyoides Killip,2872932,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium antrophyoides,Killip,ACCEPTED,2872932,;,1,3,2595.798574,6,7,39871,5.262683972
15095-2,NonThreat,Anthurium apaporanum R.E.Schult.,2872756,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium apaporanum,R.E.Schult.,ACCEPTED,2872756,;,4,14,1137340.986,155,294,29152.45612,4.671329917
15097-2,NonThreat,Anthurium argyrostachyum Sodiro,2873522,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium argyrostachyum,Sodiro,ACCEPTED,2873522,;,2,7,129502.0985,40,81,34199.32306,5.554532571
15100-2,NonThreat,Anthurium aristatum Sodiro,2873021,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium aristatum,Sodiro,ACCEPTED,2873021,;,1,4,56055.10659,19,40,8218,6.891458637
15101-2,NonThreat,Anthurium arisaemoides Madison,2873190,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium arisaemoides,Madison,ACCEPTED,2873190,;,3,2,17814.90706,24,34,35893.73537,4.180142114
15102-2,Threat,Anthurium armeniense Croat,2872852,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium armeniense,Croat,ACCEPTED,2872852,;,1,1,179.996862,3,4,15505,8.712612167
15105-2,NonThreat,Anthurium atropurpureum R.E.Schult. & Maguire,2873507,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium atropurpureum,R.E.Schult. & Maguire,ACCEPTED,2873507,;,6,23,3668143.071,165,330,132952.0751,3.258637788
15107-2,Threat,Anthurium atroviride Sodiro,2872939,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium atroviride,Sodiro,ACCEPTED,2872939,;,1,2,0,2,2,8218,6.891458637
15110-2,NonThreat,Anthurium aureum Engl.,2873197,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium aureum,Engl.,ACCEPTED,2873197,;,3,8,362042.817,32,51,31521.7584,4.710597283
15111-2,Threat,Anthurium auritum Sodiro,2873416,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium auritum,Sodiro,ACCEPTED,2873416,;,1,1,0,1,1,8218,6.891458637
15112-2,Threat,Anthurium austin-smithii Croat & R.A.Baker,2872734,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium austin-smithii,Croat & R.A.Baker,ACCEPTED,2872734,;,2,4,19893.60704,25,75,10540.45592,10.28594573
15115-2,Threat,Anthurium barbacoasense Engl.,2872959,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium barbacoasense,Engl.,ACCEPTED,2872959,;,1,2,0,2,2,39871,5.262683972
15118-2,NonThreat,Anthurium barclayanum Engl.,2872960,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium barclayanum,Engl.,ACCEPTED,2872960,;,2,7,67697.53074,17,24,25359.97684,4.303154578
15120-2,Threat,Anthurium beltianum Standl. & L.O.Williams,2873269,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium beltianum,Standl. & L.O.Williams,ACCEPTED,2873269,;,1,2,803.985759,4,16,13794,9.593421512
15121-2,NonThreat,Anthurium berriozabalense Matuda,2872935,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium berriozabalense,Matuda,ACCEPTED,2872935,;,3,5,21591.46752,10,18,13422.16348,7.358858346
15128-2,NonThreat,Anthurium bonplandii G.S.Bunting,2872628,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium bonplandii,G.S.Bunting,ACCEPTED,2872628,;,6,22,4442005.802,204,445,164143.1598,2.736392075
15129-2,NonThreat,Anthurium brachypodum Sodiro,2873640,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium brachypodum,Sodiro,ACCEPTED,2873640,;,2,7,173596.8985,32,53,34199.32306,5.554532571
15133-2,NonThreat,Anthurium brenesii Croat & R.A.Baker,2873225,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium brenesii,Croat & R.A.Baker,ACCEPTED,2873225,;,1,3,5041.694886,17,60,2377,12.02355581
15135-2,NonThreat,Anthurium brevipedunculatum Madison,2873202,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium brevipedunculatum,Madison,ACCEPTED,2873202,;,4,8,1201440.696,48,95,37094.68348,4.507019182
15136-2,Threat,Anthurium brevipes Sodiro,2873196,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium brevipes,Sodiro,ACCEPTED,2873196,;,2,3,67675.9677,5,7,34199.32306,5.554532571
15140-2,Threat,Anthurium brittonianum Sodiro,2872829,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium brittonianum,Sodiro,ACCEPTED,2872829,;,1,1,0,1,1,8218,6.891458637
15141-2,NonThreat,Anthurium buchtienii K.Krause,2872714,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium buchtienii,Krause,ACCEPTED,2872714,;,1,1,0,1,1,50812,4.005927706
15143-2,Threat,Anthurium buganum Engl.,2872692,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium buganum,Engl.,ACCEPTED,2872692,;,2,5,16593.89377,15,16,34199.32306,5.554532571
15146-2,NonThreat,Anthurium balaoanum Engl.,2873473,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium balaoanum,Engl.,ACCEPTED,2873473,;,1,7,97161.58638,29,38,8218,6.891458637
15148-2,Threat,Anthurium bullosum Sodiro,2872643,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium bullosum,Sodiro,ACCEPTED,2872643,;,1,2,1588.286165,3,3,8218,6.891458637
15150-2,Threat,Anthurium burgeri Croat & R.A.Baker,2872607,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium burgeri,Croat & R.A.Baker,ACCEPTED,2872607,;,1,1,2588.88478,5,11,2377,12.02355581
15151-2,NonThreat,Anthurium cabrerense Engl.,2872557,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cabrerense,Engl.,ACCEPTED,2872557,;,1,3,58790.79962,5,5,39871,5.262683972
15152-2,Threat,Anthurium cachabianum Sodiro,2872517,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cachabianum,Sodiro,ACCEPTED,2872517,;,1,2,0,2,2,8218,6.891458637
15153-2,Threat,Anthurium cainarachense Engl.,2872494,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cainarachense,Engl.,ACCEPTED,2872494,;,1,1,0,1,1,28652,3.8060849
15155-2,Threat,Anthurium camposii Sodiro,2872434,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium camposii,Sodiro,ACCEPTED,2872434,;,1,1,0,2,2,8218,6.891458637
15156-2,Threat,Anthurium canaliculatum Sodiro,2872422,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium canaliculatum,Sodiro,ACCEPTED,2872422,;,1,1,280.8105629,3,3,8218,6.891458637
15159-2,NonThreat,Anthurium caperatum Croat & R.A.Baker,2872363,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium caperatum,Croat & R.A.Baker,ACCEPTED,2872363,;,3,8,127901.4251,94,313,36218.64975,5.677497323
15160-2,NonThreat,Anthurium caramantae Engl.,2872256,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium caramantae,Engl.,ACCEPTED,2872256,;,1,4,72459.02389,17,28,39871,5.262683972
15161-2,NonThreat,Anthurium caripense G.S.Bunting,2873643,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium caripense,G.S.Bunting,ACCEPTED,2873643,;,1,2,1477.104497,5,6,22191,4.555955001
15162-2,Threat,Anthurium carneospadix Engl.,2873610,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium carneospadix,Engl.,ACCEPTED,2873610,;,1,1,0,1,1,28652,3.8060849
15163-2,NonThreat,Anthurium carnosum Croat & R.A.Baker,2873605,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium carnosum,Croat & R.A.Baker,ACCEPTED,2873605,;,2,4,35366.99095,60,259,3194.143457,9.428234562
15165-2,Threat,Anthurium caulorrhizum Sodiro,2873407,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium caulorrhizum,Sodiro,ACCEPTED,2873407,;,2,4,30749.07499,13,32,34199.32306,5.554532571
15167-2,Threat,Anthurium cerrobaulense Matuda,2872558,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cerrobaulense,Matuda,ACCEPTED,2872558,;,2,7,34805.82617,29,76,13856.91064,7.451566894
15168-2,Threat,Anthurium cerrocampanense Croat,2873380,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cerrocampanense,Croat,ACCEPTED,2873380,;,1,6,10005.16807,16,64,3754,7.65007974
15169-2,Threat,Anthurium cerropelonense Matuda,2872967,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cerropelonense,Matuda,ACCEPTED,2872967,;,1,2,449.2151444,5,15,6467,7.637373724
15172-2,NonThreat,Anthurium chamulense Matuda,2872882,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium chamulense,Matuda,ACCEPTED,2872882,;,3,7,77718.71674,34,103,14123.15601,7.655286104
15174-2,NonThreat,Anthurium chiapasense Standl.,2872797,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium chiapasense,Standl.,ACCEPTED,2872797,;,3,8,111012.9636,48,155,14123.15601,7.655286104
15176-2,Threat,Anthurium chiriquense Standl.,2872750,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium chiriquense,Standl.,ACCEPTED,2872750,;,2,2,995.7108547,6,11,3194.143457,9.428234562
15181-2,Threat,Anthurium chorense Engl.,2872672,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium chorense,Engl.,ACCEPTED,2872672,;,1,1,0,1,1,39871,5.262683972
15182-2,Threat,Anthurium circinatum Croat,2872593,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium circinatum,Croat,ACCEPTED,2872593,;,1,3,4961.59084,6,22,3754,7.65007974
15183-2,NonThreat,Anthurium citrifolium Sodiro,2872574,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium citrifolium,Sodiro,ACCEPTED,2872574,;,3,4,97329.7684,29,119,31521.7584,4.710597283
15185-2,Threat,Anthurium clarinervium Matuda,2872501,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium clarinervium,Matuda,ACCEPTED,2872501,;,1,5,11921.88677,13,23,24139,7.193041111
15186-2,Threat,Anthurium clathratum Sodiro,2872485,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium clathratum,Sodiro,ACCEPTED,2872485,;,1,1,0,1,1,8218,6.891458637
15187-2,Threat,Anthurium clavatum Croat & R.A.Baker,2872476,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium clavatum,Croat & R.A.Baker,ACCEPTED,2872476,;,1,2,3521.459556,10,30,2377,12.02355581
15189-2,Threat,Anthurium cleistanthum G.M.Barroso,2872447,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium cleistanthum,G.M.Barroso,ACCEPTED,2872447,;,1,2,31781.28796,10,24,58771,11.06857841
15190-2,NonThreat,Anthurium clidemioides Standl.,2872436,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium clidemioides,Standl.,ACCEPTED,2872436,;,3,6,59465.44754,23,65,36218.64975,5.677497323
15193-2,NonThreat,Anthurium coclense Croat,2872353,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium coclense,Croat,ACCEPTED,2872353,;,2,5,90492.0263,22,69,37646.63628,5.409718237
15195-2,Threat,Anthurium coerulescens Engl.,2872337,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium coerulescens,Engl.,ACCEPTED,2872337,;,1,1,0,1,1,8218,6.891458637
15198-2,Threat,Anthurium colonicum K.Krause,2872250,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium colonicum,K.Krause,ACCEPTED,2872250,;,2,6,13213.04727,17,46,37646.63628,5.409718237
15201-2,NonThreat,Anthurium concolor K.Krause,2873585,Plantae,Tracheophyta,Alismatales,Araceae,Anthurium,Anthurium concolor,K.Krause,ACCEPTED,2873585,;,2,4,36286.74342,10,14,37646.63628,5.409718237
