accepted,author,kingdom,name,rank,base_url,IPNI_ID,search_name,IUCN_rating,Obs_threat,Predicted
TRUE,de Lannoy ex Carrière,Plantae,Abies numidica,Species,/taxon/urn:lsid:ipni.org:,261601-1,Abies numidica,CR,Threat,NonThreat
TRUE,Veill. ex Duhamel,Plantae,Arbutus canariensis,Species,/taxon/urn:lsid:ipni.org:,326442-1,Arbutus canariensis,NT,NonThreat,NonThreat
TRUE,Boiss.,Plantae,Cotoneaster granatensis,Species,/taxon/urn:lsid:ipni.org:,722509-1,Cotoneaster granatensis,LC,NonThreat,NonThreat
TRUE,Labill.,Plantae,Juniperus drupacea,Species,/taxon/urn:lsid:ipni.org:,262198-1,Juniperus drupacea,LC,NonThreat,NonThreat
TRUE,(L.) H.Karst.,Plantae,Picea abies,Species,/taxon/urn:lsid:ipni.org:,262609-1,Picea abies,LC,NonThreat,Threat
TRUE,(Pancic) Purk.,Plantae,Picea omorika,Species,/taxon/urn:lsid:ipni.org:,60440467-2,Picea omorika,EN,Threat,Threat
TRUE,Boiss.,Plantae,Prunus ramburii,Species,/taxon/urn:lsid:ipni.org:,730180-1,Prunus ramburii,VU,Threat,Threat
TRUE,Moris,Plantae,Rhamnus persicifolia,Species,/taxon/urn:lsid:ipni.org:,718559-1,Rhamnus persicifolia,EN,Threat,Threat
TRUE,L.,Plantae,Salix cinerea,Species,/taxon/urn:lsid:ipni.org:,301107-2,Salix cinerea,LC,NonThreat,Insufficient Data
TRUE,Pau,Plantae,Salix tarraconensis,Species,/taxon/urn:lsid:ipni.org:,778993-1,Salix tarraconensis,VU,Threat,Threat
TRUE,(Vahl) Mast.,Plantae,Tetraclinis articulata,Species,/taxon/urn:lsid:ipni.org:,677193-1,Tetraclinis articulata,LC,NonThreat,NonThreat
TRUE,Engl.,Plantae,Warburgia stuhlmannii,Species,/taxon/urn:lsid:ipni.org:,146037-1,Warburgia stuhlmannii,VU,Threat,NonThreat
TRUE,(Lam.) Boiss.,Plantae,Zelkova abelicea,Species,/taxon/urn:lsid:ipni.org:,858071-1,Zelkova abelicea,EN,Threat,Threat
