"accepted","full_name","base_url","POWO_ID","family"
"TRUE","Acanthopale aethiogermanica Ensermu","/taxon/urn:lsid:ipni.org:names:","77098516-1","Acanthaceae"
"TRUE","Acanthopale breviceps (Benoist) Callm. & Phillipson","/taxon/urn:lsid:ipni.org:names:","77153331-1","Acanthaceae"
"TRUE","Acanthopale confertiflora (Lindau) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44819-1","Acanthaceae"
"TRUE","Acanthopale cuneifolia (Benoist) Callm. & Phillipson","/taxon/urn:lsid:ipni.org:names:","77153332-1","Acanthaceae"
"TRUE","Acanthopale decempedalis C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44821-1","Acanthaceae"
"TRUE","Acanthopale humblotii (Benoist) Callm. & Phillipson","/taxon/urn:lsid:ipni.org:names:","77153333-1","Acanthaceae"
"TRUE","Acanthopale laxiflora (Lindau) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44824-1","Acanthaceae"
"TRUE","Acanthopale macrocarpa Vollesen","/taxon/urn:lsid:ipni.org:names:","77092225-1","Acanthaceae"
"TRUE","Acanthopale madagascariensis (Baker) C.B.Clarke ex Bremek.","/taxon/urn:lsid:ipni.org:names:","44826-1","Acanthaceae"
"TRUE","Acanthopale perrieri (Benoist) Callm. & Phillipson","/taxon/urn:lsid:ipni.org:names:","77153334-1","Acanthaceae"
"TRUE","Acanthopale pubescens (Lindau ex Engl.) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44828-1","Acanthaceae"
"TRUE","Acanthopale ramiflora (Benoist) Callm. & Phillipson","/taxon/urn:lsid:ipni.org:names:","77153335-1","Acanthaceae"
"TRUE","Acanthopsis adamanticola H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77148244-1","Acanthaceae"
"TRUE","Acanthopsis carduifolia (L.f.) Schinz","/taxon/urn:lsid:ipni.org:names:","44830-1","Acanthaceae"
"TRUE","Acanthopsis disperma Nees","/taxon/urn:lsid:ipni.org:names:","44831-1","Acanthaceae"
"TRUE","Acanthopsis dispermoides H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77148246-1","Acanthaceae"
"TRUE","Acanthopsis dregeana H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77152050-1","Acanthaceae"
"TRUE","Acanthopsis erosa H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77152034-1","Acanthaceae"
"TRUE","Acanthopsis glauca (Nees) Schinz","/taxon/urn:lsid:ipni.org:names:","44832-1","Acanthaceae"
"TRUE","Acanthopsis hoffmannseggiana (Nees) C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44833-1","Acanthaceae"
"TRUE","Acanthopsis horrida (Nees) Nees","/taxon/urn:lsid:ipni.org:names:","44834-1","Acanthaceae"
"TRUE","Acanthopsis ludoviciana H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77148243-1","Acanthaceae"
"TRUE","Acanthopsis scullyi (S.Moore) Oberm.","/taxon/urn:lsid:ipni.org:names:","44835-1","Acanthaceae"
"TRUE","Acanthopsis spathularis (Nees) Schinz","/taxon/urn:lsid:ipni.org:names:","44837-1","Acanthaceae"
"TRUE","Acanthopsis tetragona H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77160507-1","Acanthaceae"
"TRUE","Acanthopsis tuba H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77148242-1","Acanthaceae"
"TRUE","Acanthopsis villosa H.M.Steyn","/taxon/urn:lsid:ipni.org:names:","77148245-1","Acanthaceae"
"TRUE","Acanthus albus Debnath, B.K.Singh & P.Giri","/taxon/urn:lsid:ipni.org:names:","77135232-1","Acanthaceae"
"TRUE","Acanthus arboreus Forssk.","/taxon/urn:lsid:ipni.org:names:","44841-1","Acanthaceae"
"TRUE","Acanthus austromontanus Vollesen","/taxon/urn:lsid:ipni.org:names:","77080276-1","Acanthaceae"
"TRUE","Acanthus carduaceus Griff.","/taxon/urn:lsid:ipni.org:names:","44846-1","Acanthaceae"
"TRUE","Acanthus caroli-alexandri Hausskn.","/taxon/urn:lsid:ipni.org:names:","44849-1","Acanthaceae"
"TRUE","Acanthus caudatus Lindau","/taxon/urn:lsid:ipni.org:names:","44850-1","Acanthaceae"
"TRUE","Acanthus dioscoridis L.","/taxon/urn:lsid:ipni.org:names:","44854-1","Acanthaceae"
"TRUE","Acanthus ebracteatus Vahl","/taxon/urn:lsid:ipni.org:names:","44857-1","Acanthaceae"
"TRUE","Acanthus eminens C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44859-1","Acanthaceae"
"TRUE","Acanthus flexicaulis Bremek.","/taxon/urn:lsid:ipni.org:names:","44861-1","Acanthaceae"
"TRUE","Acanthus gaed Lindau","/taxon/urn:lsid:ipni.org:names:","44863-1","Acanthaceae"
"TRUE","Acanthus greuterianus Snogerup, B.Snogerup & Strid","/taxon/urn:lsid:ipni.org:names:","77075733-1","Acanthaceae"
"TRUE","Acanthus guineensis Heine & P.Taylor","/taxon/urn:lsid:ipni.org:names:","44868-1","Acanthaceae"
"TRUE","Acanthus hirsutus Boiss.","/taxon/urn:lsid:ipni.org:names:","44869-1","Acanthaceae"
"TRUE","Acanthus hungaricus (Borbás) Baen.","/taxon/urn:lsid:ipni.org:names:","907838-1","Acanthaceae"
"TRUE","Acanthus ilicifolius L.","/taxon/urn:lsid:ipni.org:names:","44873-1","Acanthaceae"
"TRUE","Acanthus kulalensis Vollesen","/taxon/urn:lsid:ipni.org:names:","77080278-1","Acanthaceae"
"TRUE","Acanthus latisepalus C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","44880-1","Acanthaceae"
"TRUE","Acanthus leucostachyus Wall. ex Nees","/taxon/urn:lsid:ipni.org:names:","44881-1","Acanthaceae"
"TRUE","Acanthus longibracteatus Kurz","/taxon/urn:lsid:ipni.org:names:","44882-1","Acanthaceae"
"TRUE","Acanthus mayaccanus Büttner","/taxon/urn:lsid:ipni.org:names:","44890-1","Acanthaceae"
"TRUE","Acanthus mollis L.","/taxon/urn:lsid:ipni.org:names:","44892-1","Acanthaceae"
"TRUE","Acanthus montanus (Nees) T.Anderson","/taxon/urn:lsid:ipni.org:names:","44894-1","Acanthaceae"
"TRUE","Acanthus polystachius Delile","/taxon/urn:lsid:ipni.org:names:","44903-1","Acanthaceae"
"TRUE","Acanthus sennii Chiov.","/taxon/urn:lsid:ipni.org:names:","44914-1","Acanthaceae"
"TRUE","Acanthus seretii De Wild.","/taxon/urn:lsid:ipni.org:names:","44915-1","Acanthaceae"
"TRUE","Acanthus spinosus L.","/taxon/urn:lsid:ipni.org:names:","44920-1","Acanthaceae"
"TRUE","Acanthus ueleensis De Wild.","/taxon/urn:lsid:ipni.org:names:","44926-1","Acanthaceae"
"TRUE","Acanthus villaeanus De Wild.","/taxon/urn:lsid:ipni.org:names:","44930-1","Acanthaceae"
"TRUE","Acanthus volubilis Wall.","/taxon/urn:lsid:ipni.org:names:","44931-1","Acanthaceae"
"TRUE","Acanthus xiamenensis R.T.Zhang","/taxon/urn:lsid:ipni.org:names:","1006050-1","Acanthaceae"
"TRUE","Achyrocalyx decaryi Benoist","/taxon/urn:lsid:ipni.org:names:","44936-1","Acanthaceae"
"TRUE","Achyrocalyx gossypinus Benoist","/taxon/urn:lsid:ipni.org:names:","44937-1","Acanthaceae"
"TRUE","Achyrocalyx pungens Benoist","/taxon/urn:lsid:ipni.org:names:","44938-1","Acanthaceae"
"TRUE","Achyrocalyx vicinus Benoist","/taxon/urn:lsid:ipni.org:names:","44939-1","Acanthaceae"
"TRUE","Afrofittonia silvestris Lindau","/taxon/urn:lsid:ipni.org:names:","45156-1","Acanthaceae"
"TRUE","Ambongia perrieri Benoist","/taxon/urn:lsid:ipni.org:names:","45169-1","Acanthaceae"
"TRUE","Ancistranthus harpochiloides (Griseb.) Lindau","/taxon/urn:lsid:ipni.org:names:","12543-2","Acanthaceae"
"TRUE","Andrographis affinis Nees","/taxon/urn:lsid:ipni.org:names:","45202-1","Acanthaceae"
"TRUE","Andrographis alata (Vahl) Nees","/taxon/urn:lsid:ipni.org:names:","45203-1","Acanthaceae"
"TRUE","Andrographis atropurpurea (Dennst.) Alston","/taxon/urn:lsid:ipni.org:names:","45204-1","Acanthaceae"
"TRUE","Andrographis beddomei C.B.Clarke","/taxon/urn:lsid:ipni.org:names:","45205-1","Acanthaceae"
"TRUE","Andrographis chendurunii E.S.S.Kumar, A.E.S.Khan & S.G.Gopal","/taxon/urn:lsid:ipni.org:names:","60434247-2","Acanthaceae"
"TRUE","Andrographis echioides (L.) Nees","/taxon/urn:lsid:ipni.org:names:","45208-1","Acanthaceae"
"TRUE","Andrographis elongata (Vahl) T.Anderson","/taxon/urn:lsid:ipni.org:names:","45209-1","Acanthaceae"
"TRUE","Andrographis explicata (C.B.Clarke) Gamble","/taxon/urn:lsid:ipni.org:names:","45211-1","Acanthaceae"
"TRUE","Andrographis glandulosa (B.Heyne ex Roth) Nees","/taxon/urn:lsid:ipni.org:names:","45212-1","Acanthaceae"
"TRUE","Andrographis gracilis Nees","/taxon/urn:lsid:ipni.org:names:","45214-1","Acanthaceae"
