VALUE	LEVEL3_NAM
2	Afghanistan
6	Alabama
20	Alaska
7	Albania
1	Alberta
8	Aldabra
11	Aleutian Is.
9	Algeria
10	Altay
21	Amsterdam-St.Paul Is.
12	Amur
13	Andaman Is.
14	Angola
15	Antarctica
23	Antipodean Is.
3	Argentina Northeast
5	Argentina Northwest
4	Argentina South
16	Arizona
17	Arkansas
18	Aruba
19	Ascension
22	Assam
24	Austria
25	Azores
26	Bahamas
27	Baleares
35	Baltic States
28	Bangladesh
34	Belarus
31	Belgium
36	Belize
29	Benin
30	Bermuda
32	Bismarck Archipelago
37	Bolivia
38	Borneo
39	Botswana
40	Bouvet I.
48	Brazil North
46	Brazil Northeast
49	Brazil South
47	Brazil Southeast
45	Brazil West-Central
41	British Columbia
43	Bulgaria
33	Burkina
44	Burundi
42	Buryatiya
80	C. American Pacific Is.
50	Cabinda
52	California
54	Cambodia
71	Cameroon
73	Canary Is.
81	Cape Provinces
88	Cape Verde
82	Caprivi Strip
83	Caroline Is.
53	Cayman Is.
51	Central African Republic
275	Central European Russia
56	Chad
55	Chagos Archipelago
86	Chatham Is.
67	Chile Central
69	Chile North
70	Chile South
61	China North-Central
57	China South-Central
63	China Southeast
85	Chita
362	Christmas I.
66	Cocos (Keeling) I.
68	Colombia
74	Colorado
75	Comoros
76	Congo
72	Connecticut
77	Cook Is.
78	Corse
79	Costa Rica
84	Crozet Is.
87	Cuba
89	Cyprus
90	Czechoslovakia
91	Delaware
92	Denmark
95	Desventurados Is.
354	District of Columbia
93	Djibouti
94	Dominican Republic
96	East Aegean Is.
276	East European Russia
100	East Himalaya
97	Easter Is.
98	Ecuador
99	Egypt
101	El Salvador
102	Equatorial Guinea
103	Eritrea
104	Ethiopia
109	Føroyar
105	Falkland Is.
106	Fiji
107	Finland
108	Florida
110	France
248	Free State
111	French Guiana
112	Gabon
113	Galápagos
114	Gambia, The
115	Georgia
116	Germany
118	Ghana
119	Gilbert Is.
122	Great Britain
123	Greece
121	Greenland
125	Guatemala
126	Guinea
120	Guinea-Bissau
117	Gulf of Guinea Is.
124	Gulf States
127	Guyana
58	Hainan
128	Haiti
129	Hawaii
131	Heard-McDonald Is.
132	Honduras
130	Howland-Baker Is.
133	Hungary
134	Iceland
135	Idaho
136	Illinois
137	India
138	Indiana
59	Inner Mongolia
139	Iowa
142	Iran
143	Iraq
140	Ireland
141	Irkutsk
